logID,description,logTime,userID,associatedID,associatedType
1,Started Database,2018-04-17 00:13:11:898,N/A,N/A,N/A
2,Started Database,2018-04-17 00:14:15:614,N/A,N/A,N/A
3,Started Database,2018-04-17 14:49:59:742,N/A,N/A,N/A
4,Started Database,2018-04-17 14:50:30:142,N/A,N/A,N/A
5,Started Database,2018-04-17 14:51:33:925,N/A,N/A,N/A
6,Started Database,2018-04-17 14:52:15:781,N/A,N/A,N/A
7,Started Database,2018-04-17 14:57:10:349,N/A,N/A,N/A
8,Started Database,2018-04-17 14:57:39:743,N/A,N/A,N/A
9,Started Database,2018-04-17 20:47:08:288,N/A,N/A,N/A
10,Started Database,2018-04-17 20:47:46:424,N/A,N/A,N/A
11,Started Database,2018-04-17 20:48:30:321,N/A,N/A,N/A
12,Started Database,2018-04-17 20:49:06:175,N/A,N/A,N/A
13,Started Database,2018-04-18 01:19:21:044,N/A,N/A,N/A
14,Pathfind fromEINFO00101 to FSTAI00301 is done,2018-04-18 01:19:29:242,null,1,pathfind
15,Started Database,2018-04-18 01:20:46:150,N/A,N/A,N/A
16,Pathfind fromEINFO00101 to FSTAI00301 is done,2018-04-18 01:20:53:760,null,2,pathfind
17,Started Database,2018-04-18 01:24:35:155,N/A,N/A,N/A
18,Started Database,2018-04-18 01:25:18:862,N/A,N/A,N/A
19,Started Database,2018-04-18 01:26:26:519,N/A,N/A,N/A
20,Started Database,2018-04-18 01:30:09:342,N/A,N/A,N/A
21,Started Database,2018-04-18 01:32:05:833,N/A,N/A,N/A
22,Started Database,2018-04-18 01:35:46:079,N/A,N/A,N/A
23,Started Database,2018-04-18 01:36:47:697,N/A,N/A,N/A
24,Started Database,2018-04-18 01:37:19:856,N/A,N/A,N/A
25,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 01:37:22:033,null,3,pathfind
26,Started Database,2018-04-18 01:39:23:277,N/A,N/A,N/A
27,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 01:39:25:366,null,4,pathfind
28,Started Database,2018-04-18 01:41:50:495,N/A,N/A,N/A
29,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 01:41:52:719,null,5,pathfind
30,Started Database,2018-04-18 01:42:33:675,N/A,N/A,N/A
31,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 01:42:35:750,null,6,pathfind
32,Started Database,2018-04-18 01:43:15:200,N/A,N/A,N/A
33,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 01:43:17:346,null,7,pathfind
34,Started Database,2018-04-18 01:44:13:586,N/A,N/A,N/A
35,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 01:44:15:662,null,8,pathfind
36,Started Database,2018-04-18 02:06:38:835,N/A,N/A,N/A
37,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-18 02:06:40:940,null,9,pathfind
38,Started Database,2018-04-18 02:07:52:355,N/A,N/A,N/A
39,Pathfind fromEINFO00101 to WELEV00M01 is done,2018-04-18 02:08:02:071,null,10,pathfind
45,Database Setup,2018-04-18 03:13:17:282,N/A,N/A,database
46,Application Started,2018-04-18 03:13:17:299,N/A,N/A,application
52,Database Setup,2018-04-18 03:16:28:105,N/A,N/A,database
53,Application Started,2018-04-18 03:16:28:128,N/A,N/A,application
59,Database Setup,2018-04-23 16:38:17:697,N/A,N/A,database
60,Application Started,2018-04-23 16:38:17:705,N/A,N/A,application
61,Application Closed,2018-04-23 16:39:13:642,N/A,N/A,application
67,Database Setup,2018-04-23 16:41:03:600,N/A,N/A,database
68,Application Started,2018-04-23 16:41:03:611,N/A,N/A,application
69,Application Closed,2018-04-23 16:41:20:840,N/A,N/A,application
75,Database Setup,2018-04-23 16:41:53:123,N/A,N/A,database
76,Application Started,2018-04-23 16:41:53:131,N/A,N/A,application
77,Application Closed,2018-04-23 16:42:04:724,N/A,N/A,application
83,Database Setup,2018-04-23 16:42:22:918,N/A,N/A,database
84,Application Started,2018-04-23 16:42:22:929,N/A,N/A,application
85,Application Closed,2018-04-23 16:42:34:489,N/A,N/A,application
91,Database Setup,2018-04-23 16:43:18:425,N/A,N/A,database
92,Application Started,2018-04-23 16:43:18:434,N/A,N/A,application
93,Application Closed,2018-04-23 16:43:40:438,N/A,N/A,application
99,Database Setup,2018-04-23 16:46:11:573,N/A,N/A,database
100,Application Started,2018-04-23 16:46:11:582,N/A,N/A,application
101,Application Closed,2018-04-23 16:46:20:821,N/A,N/A,application
107,Database Setup,2018-04-23 16:47:32:198,N/A,N/A,database
108,Application Started,2018-04-23 16:47:32:206,N/A,N/A,application
109,Application Closed,2018-04-23 16:47:55:853,N/A,N/A,application
115,Database Setup,2018-04-23 16:59:10:185,N/A,N/A,database
116,Application Started,2018-04-23 16:59:10:199,N/A,N/A,application
117,Application Closed,2018-04-23 18:16:58:920,N/A,N/A,application
123,Database Setup,2018-04-23 18:17:17:172,N/A,N/A,database
124,Application Started,2018-04-23 18:17:17:180,N/A,N/A,application
125,Application Closed,2018-04-23 18:18:20:213,N/A,N/A,application
131,Database Setup,2018-04-23 18:35:54:280,N/A,N/A,database
132,Application Started,2018-04-23 18:35:54:286,N/A,N/A,application
133,Pathfind fromEINFO00101 to EEXIT00101 is done,2018-04-23 18:36:02:033,null,17,pathfind
134,Pathfind fromEINFO00101 to CCONF003L1 is done,2018-04-23 18:36:12:473,null,18,pathfind
135,Pathfind fromEINFO00101 to WELEV00KL2 is done,2018-04-23 18:36:28:548,null,19,pathfind
136,Pathfind fromGLABS014L2 to GSERV02301 is done,2018-04-23 18:36:37:512,null,20,pathfind
137,Application Closed,2018-04-23 18:37:22:768,N/A,N/A,application
143,Database Setup,2018-04-23 18:38:37:805,N/A,N/A,database
144,Application Started,2018-04-23 18:38:37:812,N/A,N/A,application
145,Pathfind fromEINFO00101 to AINFO001L2 is done,2018-04-23 18:38:47:061,null,21,pathfind
146,Pathfind fromGSERV02301 to AINFO001L2 is done,2018-04-23 18:40:10:769,null,22,pathfind
147,Application Closed,2018-04-23 18:41:00:133,N/A,N/A,application
153,Database Setup,2018-04-23 18:42:06:068,N/A,N/A,database
154,Application Started,2018-04-23 18:42:06:074,N/A,N/A,application
155,Pathfind fromEINFO00101 to AINFO001L2 is done,2018-04-23 18:42:15:406,null,23,pathfind
156,Application Closed,2018-04-23 18:42:22:014,N/A,N/A,application
162,Database Setup,2018-04-23 18:44:07:043,N/A,N/A,database
163,Application Started,2018-04-23 18:44:07:057,N/A,N/A,application
164,Application Closed,2018-04-23 18:44:44:150,N/A,N/A,application
170,Database Setup,2018-04-23 18:50:53:410,N/A,N/A,database
171,Application Started,2018-04-23 18:50:53:419,N/A,N/A,application
172,Pathfind fromEINFO00101 to AINFO001L2 is done,2018-04-23 18:51:04:990,null,24,pathfind
173,Application Closed,2018-04-23 18:51:09:325,N/A,N/A,application
179,Database Setup,2018-04-23 18:58:28:304,N/A,N/A,database
180,Application Started,2018-04-23 18:58:28:311,N/A,N/A,application
181,Application Closed,2018-04-23 18:59:16:066,N/A,N/A,application
187,Database Setup,2018-04-23 19:01:01:756,N/A,N/A,database
188,Application Started,2018-04-23 19:01:01:762,N/A,N/A,application
189,Pathfind fromEINFO00101 to GSERV02301 is done,2018-04-23 19:01:17:470,null,25,pathfind
190,Pathfind fromEINFO00101 to GELEV00N01 is done,2018-04-23 19:01:26:879,null,26,pathfind
191,Application Closed,2018-04-23 19:05:34:928,N/A,N/A,application
197,Database Setup,2018-04-23 19:12:25:495,N/A,N/A,database
198,Application Started,2018-04-23 19:12:25:502,N/A,N/A,application
199,Application Closed,2018-04-23 19:12:42:772,N/A,N/A,application
205,Database Setup,2018-04-23 19:13:30:561,N/A,N/A,database
206,Application Started,2018-04-23 19:13:30:568,N/A,N/A,application
207,Pathfind fromEINFO00101 to HBATH00102 is done,2018-04-23 19:13:43:920,null,27,pathfind
208,Application Closed,2018-04-23 19:16:10:784,N/A,N/A,application
214,Database Setup,2018-04-23 19:17:13:344,N/A,N/A,database
215,Application Started,2018-04-23 19:17:13:351,N/A,N/A,application
216,Pathfind fromEINFO00101 to GLABS015L2 is done,2018-04-23 19:17:22:228,null,28,pathfind
217,Application Closed,2018-04-23 19:18:09:726,N/A,N/A,application
223,Database Setup,2018-04-23 19:20:08:385,N/A,N/A,database
224,Application Started,2018-04-23 19:20:08:408,N/A,N/A,application
225,Pathfind fromEINFO00101 to FINFO00101 is done,2018-04-23 19:20:19:884,null,29,pathfind
226,Pathfind fromEINFO00101 to HBATH00103 is done,2018-04-23 19:20:45:772,null,30,pathfind
227,Application Closed,2018-04-23 19:20:55:099,N/A,N/A,application
233,Database Setup,2018-04-23 19:21:11:173,N/A,N/A,database
234,Application Started,2018-04-23 19:21:11:182,N/A,N/A,application
235,Pathfind fromEINFO00101 to HBATH00203 is done,2018-04-23 19:21:35:947,null,31,pathfind
236,Application Closed,2018-04-23 19:21:56:314,N/A,N/A,application
242,Database Setup,2018-04-23 19:23:52:895,N/A,N/A,database
243,Application Started,2018-04-23 19:23:52:906,N/A,N/A,application
244,Pathfind fromEINFO00101 to HBATH00102 is done,2018-04-23 19:24:17:255,null,32,pathfind
245,Application Closed,2018-04-23 19:24:32:676,N/A,N/A,application
251,Database Setup,2018-04-23 19:24:56:705,N/A,N/A,database
252,Application Started,2018-04-23 19:24:56:712,N/A,N/A,application
253,Pathfind fromEINFO00101 to HBATH00102 is done,2018-04-23 19:25:07:900,null,33,pathfind
254,Application Closed,2018-04-23 19:25:20:093,N/A,N/A,application
260,Database Setup,2018-04-23 19:25:29:198,N/A,N/A,database
261,Application Started,2018-04-23 19:25:29:208,N/A,N/A,application
262,Pathfind fromEINFO00101 to HBATH00103 is done,2018-04-23 19:25:39:408,null,34,pathfind
263,Application Closed,2018-04-23 19:27:13:373,N/A,N/A,application
269,Database Setup,2018-04-23 19:28:28:587,N/A,N/A,database
270,Application Started,2018-04-23 19:28:28:594,N/A,N/A,application
271,Pathfind fromEINFO00101 to HBATH00102 is done,2018-04-23 19:28:38:688,null,35,pathfind
272,Application Closed,2018-04-23 19:29:24:270,N/A,N/A,application
278,Database Setup,2018-04-23 19:30:38:180,N/A,N/A,database
279,Application Started,2018-04-23 19:30:38:192,N/A,N/A,application
280,Pathfind fromEINFO00101 to HBATH00102 is done,2018-04-23 19:30:51:930,null,36,pathfind
281,Application Closed,2018-04-23 19:31:12:338,N/A,N/A,application
287,Database Setup,2018-04-23 19:56:23:860,N/A,N/A,database
288,Application Started,2018-04-23 19:56:23:874,N/A,N/A,application
289,Pathfind fromEINFO00101 to HBATH00203 is done,2018-04-23 19:56:35:321,null,37,pathfind
290,Application Closed,2018-04-23 19:56:42:829,N/A,N/A,application
296,Database Setup,2018-04-23 20:01:11:228,N/A,N/A,database
297,Application Started,2018-04-23 20:01:11:236,N/A,N/A,application
298,Pathfind fromEINFO00101 to GSERV02301 is done,2018-04-23 20:01:24:772,null,38,pathfind
299,Application Closed,2018-04-23 20:01:29:891,N/A,N/A,application
305,Database Setup,2018-04-23 20:02:10:408,N/A,N/A,database
