pathfinderID, startNodeID, endNodeID
1,EINFO00101,FSTAI00301
2,EINFO00101,FSTAI00301
3,EINFO00101,EEXIT00101
4,EINFO00101,EEXIT00101
5,EINFO00101,EEXIT00101
6,EINFO00101,EEXIT00101
7,EINFO00101,EEXIT00101
8,EINFO00101,EEXIT00101
9,EINFO00101,EEXIT00101
10,EINFO00101,WELEV00M01
11,EINFO00101,FEXIT00101
12,EINFO00101,IREST00103
13,EINFO00101,FEXIT00101
14,CDEPT004L1,HRETL00202
15,HRETL00102,CSERV001L2
16,EINFO00101,FSERV00101
17,EINFO00101,EEXIT00101
18,EINFO00101,CCONF003L1
19,EINFO00101,WELEV00KL2
20,GLABS014L2,GSERV02301
21,EINFO00101,AINFO001L2
22,GSERV02301,AINFO001L2
23,EINFO00101,AINFO001L2
24,EINFO00101,AINFO001L2
25,EINFO00101,GSERV02301
26,EINFO00101,GELEV00N01
27,EINFO00101,HBATH00102
28,EINFO00101,GLABS015L2
29,EINFO00101,FINFO00101
30,EINFO00101,HBATH00103
31,EINFO00101,HBATH00203
32,EINFO00101,HBATH00102
33,EINFO00101,HBATH00102
34,EINFO00101,HBATH00103
35,EINFO00101,HBATH00102
36,EINFO00101,HBATH00102
37,EINFO00101,HBATH00203
38,EINFO00101,GSERV02301
39,EINFO00101,GSERV02301
40,EINFO00101,HBATH00102
41,EINFO00101,GSERV02301
42,EINFO00101,HBATH00103
43,EINFO00101,GSERV02301
44,EINFO00101,HBATH00103
45,EINFO00101,HBATH00103
46,EINFO00101,HBATH00103
47,EINFO00101,HBATH00103
48,EINFO00101,HBATH00103
49,EINFO00101,HBATH00103
50,EINFO00101,HBATH00103
51,EINFO00101,HBATH00203
52,EINFO00101,HBATH00103
53,EINFO00101,HBATH00103
54,EINFO00101,GLABS015L2
55,EINFO00101,HBATH00103
