nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned,xcoord3d,ycoord3d
ACONF00102,1580,2538,2,BTM,HALL,Hall,Hall,Team A,1106,2080
ACONF00103,1648,2968,3,BTM,CONF,BTM Conference Center,BTM Conference,Team A,1029,2246
ADEPT00101,1401,2628,1,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room,Team A,938,2132
ADEPT00102,1395,2674,2,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy,Team A,932,2095
ADEPT00201,1720,2847,1,BTM,DEPT,MS Waiting,MS Waiting,Team A,1080,2261
ADEPT00301,986,2852,1,BTM,DEPT,CART Waiting,CART Waiting,Team A,594,2130
AELEV00S01,1534,2777,1,BTM,ELEV,Elevator S 01,Elevator S 1,Team A,987,2187
AELEV00S02,1532,2777,2,BTM,ELEV,Elevator S 02,Elevator S 2,Team A,1001,2162
AELEV00S03,1539,2773,3,BTM,ELEV,Elevator S; Floor 3,Elevator S 3,Team A,1014,2150
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S L2,Elevator S L2,Team A,988,2231
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage L2,Parking Garage L2,Team A,1018,2271
AHALL00101,1638,2553,1,BTM,HALL,Hall,Hall,Team A,1112,2120
AHALL00102,1591,2560,2,BTM,HALL,Hall,Hall,Team A,1105,2090
AHALL00103,1534,2732,3,BTM,HALL,Hall,Hall,Team A,1035,2133
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,Hall,Team A,972,2251
AHALL00201,1608,2596,1,BTM,HALL,Hall,Hall,Team A,1088,2140
AHALL00202,1590,2604,2,BTM,HALL,Hall,Hall,Team A,1095,2107
AHALL00203,1600,2732,3,BTM,HALL,Hall,Hall,Team A,1068,2145
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,Hall,Team A,1022,2265
AHALL00301,1608,2737,1,BTM,HALL,Hall,Hall,Team A,1043,2200
AHALL00302,1590,2745,2,BTM,HALL,Hall,Hall,Team A,1034,2187
AHALL00303,1650,2732,3,BTM,HALL,Hall,Hall,Team A,1100,2155
AHALL003L2,1701,2734,L2,BTM,HALL,Hall,Hall,Team A,1036,2245
AHALL00401,1420,2737,1,BTM,HALL,Hall,Hall,Team A,954,2154
AHALL00402,1528,2745,2,BTM,HALL,Hall,Hall,Team A,1013,2153
AHALL00403,1650,2766,3,BTM,HALL,Hall,Hall,Team A,1089,2174
AHALL004L2,1698,2687,L2,BTM,HALL,Hall,Hall,Team A,1052,2223
AHALL00501,1420,2865,1,BTM,HALL,Hall,Hall,Team A,901,2239
AHALL00502,1398,2745,2,BTM,HALL,Hall,Hall,Team A,904,2117
AHALL00503,1650,2855,3,BTM,HALL,Hall,Hall,Team A,1049,2214
AHALL00601,1678,2865,1,BTM,HALL,Hall,Hall,Team A,1042,2293
AHALL00602,1683,2543,2,BTM,HALL,Hall,Hall,Team A,1164,2094
AHALL00603,1580,2858,3,BTM,HALL,HallNode,HallNode,Team A,1013,2205
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall,Team A,611,2142
AHALL00801,1532,2739,1,BTM,HALL,Hall,Hall,Team A,991,2179
AHALL00901,1581,2566,1,BTM,HALL,Hall,Hall,Team A,1074,2135
AHALL01001,1605,2568,1,BTM,HALL,Hall,Hall,Team A,736,2000
AINFO001L2,1681,2747,L2,BTM,INFO,BTM Security Desk,Security,Team A,1022,2245
ALABS00103,1611,2678,3,BTM,LABS,Innovation Hub,Innovation Hub,Team A,1079,2121
ALABS001L2,1667,2682,L2,BTM,LABS,MRI/CT Scan Imaging,MRI/CT Imaging,Team A,1029,2217
ALABS00203,1671,2695,3,BTM,LABS,Clinical Trials,Clinical Trials,Team A,1117,2142
AREST00101,1556,2604,1,BTM,REST,Restroom; S elevator; 1st floor,Restroom,Team A,1032,2119
AREST00103,1552,2854,3,BTM,REST,Restroom; BTM conference center; 3rd floor,Restroom,Team A,1000,2198
ARETL00101,1619,2522,1,BTM,RETL,Cafe,Cafe,Team A,1126,2105
ASTAI00101,1642,2596,1,BTM,STAI,Cafe Stairs,Cafe Staris,Team A,1104,2144
ASTAI00102,1650,2602,2,BTM,STAI,Stairs; Floor 2,Stairs Floor 2,Team A,1125,2120
