nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned,xcoord3d,ycoord3d
WELEV00E01,3265,830,1,45 Francis,ELEV,Elevator E Floor 1,Elevator E1,Team E,2902,1634
WELEV00E02,3235,880,2,45 Francis,ELEV,Elevator E Floor 2,Elevator E2,Team B,2865,1609
WELEV00F01,3050,980,1,45 Francis,ELEV,Elevator F Floor 1,Elevator F1,Team E,2690,1666
WELEV00F02,3075,960,2,45 Francis,ELEV,Elevator F Floor 2,Elevator F2,Team B,2723,1641
WELEV00G01,2935,900,1,45 Francis,ELEV,Elevator G Floor 1,Elevator G1,Team E,2632,1596
WELEV00G02,2945,870,2,45 Francis,ELEV,Elevator G Floor 2,Elevator G2,Team B,2663,1534
WELEV00HL1,2715,1070,L1,45 Francis,ELEV,Elevator H Floor L1,Elevator HL1,Team C,2419,1648
WELEV00H01,2735,1070,1,45 Francis,ELEV,Elevator H Floor 1,Elevator H1,Team E,2427,1619
WELEV00H02,2725,1065,2,45 Francis,ELEV,Elevator H Floor 2,Elevator H2,Team B,2416,1614
WELEV00H03,2715,1075,3,45 Francis,ELEV,Elevator H Floor 3,Elevator H3,Team I,2420,1565
WELEV00JL2,2360,805,L2,45 Francis,ELEV,Elevator J Floor L2,Elevator JL2,Team C,2264,1435
WELEV00JL1,2360,800,L1,45 Francis,ELEV,Elevator J Floor L1,Elevator JL1,Team C,2268,1409
WELEV00J01,2385,810,1,45 Francis,ELEV,Elevator J Floor 1,Elevator J1,Team E,2262,1391
WELEV00J02,2385,800,2,45 Francis,ELEV,Elevator J Floor 2,Elevator J2,Team B,2269,1367
WELEV00J03,2365,800,3,45 Francis,ELEV,Elevator J Floor 3,Elevator J3,Team I,2263,1335
WELEV00KL2,2215,975,L2,45 Francis,ELEV,Elevator K Floor L2,Elevator KL2,Team C,2097,1494
WELEV00KL1,2220,975,L1,45 Francis,ELEV,Elevator K Floor L1,Elevator KL1,Team C,2098,1474
WELEV00K01,2240,985,1,45 Francis,ELEV,Elevator K Floor 1,Elevator K1,Team E,2093,1448
WELEV00K02,2240,965,2,45 Francis,ELEV,Elevator K Floor 2,Elevator K2,Team B,2099,1418
WELEV00K03,2220,985,3,45 Francis,ELEV,Elevator K Floor 3,Elevator K3,Team I,2095,1394
WELEV00LL2,1785,925,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2,Team C,1804,1340
WELEV00LL1,1785,925,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1,Team C,1804,1315
WELEV00L01,1810,930,1,Tower,ELEV,Elevator L Floor 1,Elevator L1,Team F,1806,1290
WELEV00L02,1805,925,2,Tower,ELEV,Elevator L Floor 2,Elevator L2,Team H,1804,1261
WELEV00L03,1790,925,3,Tower,ELEV,Elevator L Floor 3,Elevator L3,Team H,1804,1233
WELEV00ML2,1820,1280,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2,Team C,1699,1537
WELEV00ML1,1820,1285,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1,Team C,1694,1514
WELEV00M01,1810,1280,1,Tower,ELEV,Elevator M Floor 1,Elevator M1,Team F,1669,1481
WELEV00M02,1825,1280,2,Tower,ELEV,Elevator M Floor 2,Elevator M2,Team H,1682,1458
WELEV00M03,1815,1290,3,Tower,ELEV,Elevator M Floor 3,Elevator M3,Team H,1706,1440
WHALL001L2,1745,1525,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2,Team C,1555,1665
WHALL002L2,1745,1540,L2,Shapiro,HALL,Hallway Connector 2 Floor L2,Hallway W02L2,Team G,1547,1681
WHALL00101,2160,910,1,45 Francis,HALL,Hallway Connector 1 Floor 1,Hallway W0101,Team F,2042,1381
WHALL00201,2175,910,1,45 Francis,HALL,Hallway Connector 2 Floor 1,Hallway W0201,Team E,2061,1388
WHALL00103,2060,1290,3,45 Francis,HALL,Hallway Connector 1 Floor 3,Hallway W0103,Team H,1869,1514
WHALL00203,2080,1290,3,45 Francis,HALL,Hallway Connector 2 Floor 3,Hallway W0203,Team I,1886,1524
WHALL00102,3345,865,2,45 Francis,HALL,Hallway Connector 1 Floor 2,Hallway W0102,Team B,2943,1665
WHALL00202,3360,860,2,15 Francis,HALL,Hallway Connector 2 Floor 2,Hallway W0202,Team D,2959,1662
WHALL00302,2085,900,2,45 Francis,HALL,Hallway Connector 3 Floor 2,Hallway W0302,Team H,2017,1338
WHALL00402,2105,900,2,45 Francis,HALL,Hallway Connector 4 Floor 2,Hallway W0402,Team B,2032,1343
WHALL00502,2085,1280,2,45 Francis,HALL,Hallway Connector 5 Floor 2,Hallway W0502,Team H,1912,1559
WHALL00602,2105,1280,2,45 Francis,HALL,Hallway Connector 6 Floor 2,Hallway W0602,Team B,1930,1565
WHALL00702,1740,1500,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702,Team H,1547,1556
WHALL00802,1720,1745,2,Shapiro,HALL,Hallway Connector 8 Floor 2,Hallway W0802,Team G,1456,1693
WHALL00902,1690,2240,2,Shapiro,HALL,Hallway Connector 9 Floor 2,Hallway W0902,Team G,1256,1974
WHALL01002,1690,2455,2,BTM,HALL,Hallway Connector 10 Floor 2,Hallway W1002,Team A,1186,2085
